2020-08-14T00:00:00L02108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第2表 平均每戶家庭收支按區域別分,Table 2. Average Family Income and Expenditure per Household by Areas,,,,,,,
,,,,,,,,
民 國 108 年,,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,
,average,City,City,City,City,City,City,
,,,,,,,,
2.菸酒及檳榔,12898.35996,11740.724033,10040.273265,7702.2276937,12351.636505,11773.758117,14014.910419,"2.Tobacco,alcoholic beverages and betel nuts"
3.衣著鞋襪及服飾用品,19635.690198,30037.84561,17972.615964,19243.139934,15076.338164,12367.486118,11144.658481,3.Clothing and footwear
4.住宅服務、水電瓦斯及其他燃料,158326.93394,226594.38765,131851.667,125991.25,121186.68925,114347.13898,100237.12039,"4.Housing,water,electricity,gas and other fuels"
(1)房地租及水費,138395.91136,207576.37932,114158.44379,107197.5511,105905.77513,97449.992105,85095.663222,(1)Rent and water charges
(2)電費及燃料,19931.022581,19018.008327,17693.223209,18793.698898,15280.914118,16897.146875,15141.457167,(2)Power and fuel
5.家具設備及家務維護,22206.795972,26432.700091,14535.796592,14809.702269,12520.725886,16615.29705,15966.40362,"5.Furnishings,household equipment        and routine household maintenance"
6.醫療保健,143171.92401,133094.1169,124681.6486,111760.15038,121256.58045,139682.95604,128313.75243,6.Health
7.交通,80139.024955,136413.12532,75936.892242,63481.464936,63712.465684,71871.652199,59172.527059,7.Transport
(1)個人交通工具之購置,22445.56111,49333.702031,13169.845119,9615.0124667,10876.421366,18928.813466,8673.7549702,(1)Purchase of vehicles
(2)個人交通設備使用管理及保養費,42445.583334,62289.625488,48555.18454,40498.323365,40632.281076,41778.729118,39579.587231,(2)Operation of transport equipment
(3)乘交通設備及其他交通服務,7496.9771993,13887.911904,7320.026046,5165.4481137,4489.3791434,4126.5779033,4952.3667077,(3)Transport services
(4)汽、機車保險費,7750.9033117,10901.885897,6891.8365371,8202.6809908,7714.3840986,7037.5317119,5966.8181498,(4)Insurance of vehicles
8.通訊,21436.723886,24854.673609,21918.316757,20613.967973,19075.701708,17640.063151,17841.208588,8.Communication
9.休閒與文化,35296.937655,56702.963744,32132.0031,30714.106248,24687.441537,22595.503194,18227.588611,9.Recreation and culture
(1)套裝旅遊(不含自助旅遊),18183.95854,29225.246471,14349.833006,15239.223591,10423.553157,10390.341941,8264.9071005,(1)Package holidays
(2)娛樂消遣及文化服務,8915.567582,13512.25557,9592.4406183,7669.1370321,7834.4479416,6380.3386057,5488.4835806,(2)Recreational and cultural services
(3)書報雜誌文具,2727.8824396,5322.6782811,3409.7655358,4352.9018125,2900.3231633,2541.2244622,2164.1660305,"(3)Newspapers,books and stationery"
(4)教育消遣康樂器材及其附屬品,5469.5290942,8642.7834214,4779.9639398,3452.8438121,3529.1172746,3283.5981852,2310.0318991,(4)Recreational facilities
10.教育,21128.041443,43636.22698,19484.595245,25813.238709,18610.051518,17047.842268,13235.853166,10.Education
11.餐廳及旅館,76364.722411,113935.05419,58782.633947,65812.806474,61357.09099,59915.244489,67553.018079,11.Restaurants and hotels
12.什項消費,50739.773718,62100.321336,39462.492554,35447.799493,36885.270852,32198.979908,29694.703266,12.Miscellaneous goods and services
可支配所得(平均數),921399.19413,1224584.5147,900087.15888,863242.88103,794050.53219,797653.60291,734826.55629,Disposable income(mean)
可支配所得(中位數),795061,1053574,725268,773739,657116,639407,661452,Disposable income(median)
