家庭戶數,5567351,827128,407203,900312,110516,370683,90121,No. of households,,家庭戶數,125174,329032,282331,133778,180828,136978,275519,308152,No. of households,,家庭戶數,221990,65542,93764,24316,99936,87235,232536,68418,195859,No. of households
平均每戶人數,4.0199999999999996,3.97,3.9,4.08,4.09,4.2699999999999996,4.3099999999999996,No. of persons per household,,平均每戶人數,4.1500000000000004,4.3,4.29,4.09,3.64,3.71,3.84,3.81,No. of persons per household,,平均每戶人數,4.0599999999999996,3.32,3.8,3.38,3.92,3.98,3.93,3.96,4.2,No. of persons per household
平均每戶成年人數,2.61,2.59,2.57,2.61,2.81,2.72,2.83,No. of adults per household,,平均每戶成年人數,2.74,2.61,2.8,2.6,2.41,2.48,2.57,2.52,No. of adults per household,,平均每戶成年人數,2.68,2.2000000000000002,2.42,2.36,2.7,2.59,2.6,2.52,2.76,No. of adults per household
平均每戶就業人數,1.75,1.66,1.66,1.69,1.74,1.87,2.02,No. of persons employed per household,,平均每戶就業人數,1.9,1.89,1.95,1.85,1.68,1.77,1.9,1.71,No. of persons employed per household,,平均每戶就業人數,1.9,1.48,1.65,1,1.73,1.67,1.66,1.53,1.81,No. of persons employed per household
平均每戶所得收入者人數,1.72,1.69,1.67,1.71,1.83,1.83,2,No. of income recipients per household,,平均每戶所得收入者人數,1.8,1.75,1.81,1.72,1.55,1.52,1.75,1.72,No. of income recipients per household,,平均每戶所得收入者人數,1.75,1.49,1.68,1.37,1.78,1.82,1.64,1.6,1.77,No. of income recipients per household
(2)交通通訊設備使用管理及保養費,22880,27240,27322,21402,20580,24268,26756,(2)Operation of transport equipment,,(2)交通通訊設備使用管理及保養費,18580,24886,18836,20449,13786,17868,20031,22823,(2)Operation of transport equipment,,(2)交通通訊設備使用管理及保養費,27615,13059,23017,8633,17485,26463,24373,18927,22171,(2)Operation of transport equipment
(3)乘交通設備之費用,8617,16782,6959,12260,6572,7327,5985,(3)Purchased transportation,,(3)乘交通設備之費用,5226,6887,4814,5650,3966,5519,4426,4578,(3)Purchased transportation,,(3)乘交通設備之費用,5523,6173,8471,6015,16443,5257,5489,3846,4545,(3)Purchased transportation
(4)其他通訊費,5152,7085,6252,5210,4977,4999,4713,(4)Other communications,,(4)其他通訊費,3810,4119,3668,4390,3561,5018,3821,4014,(4)Other communications,,(4)其他通訊費,4394,4194,7096,4019,4854,6012,6332,5039,4310,(4)Other communications
(5)汽機車保險費支出,3922,5039,4450,4091,3766,4364,3498,(5)Insurance of transport equipment,,(5)汽機車保險費支出,3473,4883,3334,3711,1933,3320,2940,3315,(5)Insurance of transport equipment,,(5)汽機車保險費支出,3247,2676,4257,935,2334,4195,3969,3904,3076,(5)Insurance of transport equipment
11.娛樂消遣及教育文化服務,73582,134733,83504,71333,59550,65696,56251,"11.Recreation ,education and culture",,11.娛樂消遣及教育文化服務,56139,67526,49258,53126,34475,34358,45676,52431,"11.Recreation ,education and culture",,11.娛樂消遣及教育文化服務,62356,36748,73592,31778,75222,86726,73075,71857,67049,"11.Recreation ,education and culture"
(1)旅遊費用,22844,60391,20476,18395,17179,18351,12843,(1)Traveling,,(1)旅遊費用,16970,20335,12858,14432,8458,6266,8282,13490,(1)Traveling,,(1)旅遊費用,14195,8540,19664,6846,23183,25956,21705,17497,13907,(1)Traveling
(2)娛樂消遣服務,7096,11721,8007,8430,5787,6410,5671,(2)Recreation service,,(2)娛樂消遣服務,5676,6591,4395,3969,2470,3617,4886,4656,(2)Recreation service,,(2)娛樂消遣服務,7227,2950,5701,4502,8446,7407,6229,6286,6384,(2)Recreation service
(3)書報雜誌文具,5175,7186,6699,5414,3869,4596,4471,(3)Books and stationery,,(3)書報雜誌文具,4559,4810,3789,3674,2990,2574,4024,3967,(3)Books and stationery,,(3)書報雜誌文具,4750,3039,6726,4011,5086,7632,5783,4756,4934,(3)Books and stationery
(4)娛樂器材及附屬品,7515,12027,8670,6796,6101,7542,7371,(4)Recreation facilities,,(4)娛樂器材及附屬品,6190,7118,4526,5680,3235,3073,5535,6053,(4)Recreation facilities,,(4)娛樂器材及附屬品,5770,6322,15007,5777,9740,12319,6300,8682,6164,(4)Recreation facilities
(5)教育與研究費,30952,43408,39651,32298,26614,28798,25894,(5)Education and research,,(5)教育與研究費,22744,28672,23690,25371,17323,18828,22950,24265,(5)Education and research,,(5)教育與研究費,30414,15897,26495,10643,28768,33412,33058,34636,35659,(5)Education and research
