L09105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016",,105年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2016"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第8表家庭住宅及主要設備概況按區域別分,,,,,Table 8. Household Housing and Household Facilities by Areas,,第8表家庭住宅及主要設備概況按區域別分(續一),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.1),,第8表家庭住宅及主要設備概況按區域別分(續二),,,,,Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,,,民 國 105 年,,,,,2 0 1 6,,,
,總平均,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,,,,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,,,,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(22)吸塵器,42.61,47.79,52.88,54.6,43.33,34.06,38.28,(22)Vacuum cleaner,,(22)吸塵器,40.39,50.76,41.52,28.35,34.299999999999997,24.78,24.63,(22)Vacuum cleaner,,(22)吸塵器,23.88,27.98,38.71,16.32,39.92,64.849999999999994,48.33,(22)Vacuum cleaner
(23)熱水器,99.22,99.92,99.15,99.32,99.64,98.96,98.9,(23)Geyser,,(23)熱水器,98.57,99.71,99.67,99.49,99.03,99.2,97.59,(23)Geyser,,(23)熱水器,97.93,97.45,96.53,98.51,99.34,99.6,99.68,(23)Geyser
(24)開飲機,43.99,48.9,36.53,50.51,45.55,30.91,32.21,(24)Hot-warm water fountain,,(24)開飲機,58.36,56.57,64.17,54.49,38,49.45,37.380000000000003,(24)Hot-warm water fountain,,(24)開飲機,56.52,48.71,50.59,75.61,39.700000000000003,43.42,30.8,(24)Hot-warm water fountain
(25)微波爐,41.68,49.43,51.99,47.35,42.07,34.299999999999997,34.369999999999997,(25)Microwave oven,,(25)微波爐,33.450000000000003,51.41,36.130000000000003,38.19,35.75,30.01,22.64,(25)Microwave oven,,(25)微波爐,29.03,34.6,28.09,41.47,40.86,51.47,35.35,(25)Microwave oven
(26)報紙,13.13,9.06,15.29,14.67,14.72,16.399999999999999,12,(26)Newspaper,,(26)報紙,14.86,7.99,15.64,14.98,18.28,10.48,17.05,(26)Newspaper,,(26)報紙,7.6,10.42,11.87,8.89,10.47,19.7,15.48,(26)Newspaper
(27)期刊雜誌,4.95,4.83,6.24,7.29,4.3899999999999997,5.27,4.24,(27)Magazine,,(27)期刊雜誌,5.49,2.56,5.07,3.76,2.52,1.82,3.58,(27)Magazine,,(27)期刊雜誌,1.72,2.82,3.74,0.51,3.96,13.92,9.94,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households,,"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hundred households
(1)彩色電視機,155.24,150.47,148.75,155.55000000000001,151.55000000000001,158.94,163.65,(1)Color TV,,(1)彩色電視機,173.12,170.64,173.72,149.72,160.16,151.77000000000001,151.03,(1)Color TV,,(1)彩色電視機,144.94999999999999,133.87,150.13999999999999,166.93,151.91999999999999,188.34,149.4,(1)Color TV
一般彩色電視機,25.89,14.9,18.18,23.34,28.82,30.68,32.76,Non-LCD TV,,一般彩色電視機,34.1,22.61,26.2,36.89,34.57,36.9,39.85,Non-LCD TV,,一般彩色電視機,30.77,35.229999999999997,33.14,21.59,18.489999999999998,22.67,29.11,Non-LCD TV
液晶、電漿電視,129.34,135.57,130.57,132.21,122.72,128.26,130.88999999999999,LCD、PDP TV,,液晶、電漿電視,139.02000000000001,148.03,147.52000000000001,112.83,125.59,114.87,111.18,LCD、PDP TV,,液晶、電漿電視,114.18,98.64,117,145.34,133.43,165.67,120.29,LCD、PDP TV
