COUNTY_ID,COUNTY,TOWN_ID,TOWN,NIGHT_WORK,DAY_WORK(0700~1300),DAY_WORK(1300~1900),DAY_WORK,NIGHT_WEEKEND,DAY_WEEKEND(0700~1300),DAY_WEEKEND(1300~1900),DAY_WEEKEND,MORNING_WORK,MIDDAY_WORK,AFTERNOON_WORK,EVENING_WORK,MORNING_WEEKEND,MIDDAY_WEEKEND,AFTERNOON_WEEKEND,EVENING_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日夜間停留人數,平日日間上午人數,平日日間下午人數,平日日間活動人數,假日夜間停留人數,假日日間上午人數,假日日間下午人數,假日日間活動人數,平日早晨旅次,平日中午旅次,平日午後旅次,平日晚上旅次,假日早晨旅次,假日中午旅次,假日午後旅次,假日晚上旅次,資料時間
67000,臺南市,67000250,南化區,4107,4097,4024,4048,4430,5263,5011,5081,11206,11316,11817,10629,14689,19449,19461,13865,"112Y11M"
67000,臺南市,67000260,左鎮區,2678,2688,2666,2651,2931,3415,3504,3404,7987,7390,7925,7696,9588,12276,12758,9960,"112Y11M"
67000,臺南市,67000270,仁德區,90458,101351,100277,100876,89027,93072,92638,92722,300860,278986,299773,385361,237816,298846,326720,398352,"112Y11M"
67000,臺南市,67000280,歸仁區,64131,63265,64092,63565,63451,63467,68043,65020,186941,168018,183605,252807,156985,190454,207445,250718,"112Y11M"
67000,臺南市,67000290,關廟區,28854,27317,27072,27191,29252,29192,28574,29032,79960,67273,73617,94918,79569,86230,93681,109119,"112Y11M"
67000,臺南市,67000300,龍崎區,1557,1813,1860,1849,1650,2457,2446,2364,8363,8651,10147,9748,12885,14726,17603,16285,"112Y11M"
67000,臺南市,67000310,永康區,268290,259995,256410,257950,262332,254025,243597,250487,777441,689776,725947,1075296,616042,709518,721718,969421,"112Y11M"
67000,臺南市,67000320,東區,171195,161507,165276,163157,171194,170564,176859,172559,480679,527240,542514,811557,405710,602015,594748,784303,"112Y11M"
67000,臺南市,67000330,南區,107333,101097,99772,100025,108305,104584,102142,103422,300385,293093,307791,420276,259575,328896,346945,423605,"112Y11M"
67000,臺南市,67000340,北區,126326,113656,113442,112909,127251,122734,119893,121166,353387,364850,377689,569257,301606,425082,422143,584477,"112Y11M"
