,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
,,Total,Having otherhouse,Having noother house,,Total,Having otherhouse,Having noother house,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按縣市別分,,,,,,,,,By County/City
,按主要家計負責人之性別及婚姻狀況分,,,,,,,,,By Sex and Marital Status ofMain Family Living Supporter
,總計,7910384,6237010,1449047,4787963,,1673374,248938,1424436,Grand Total
,未婚,1448239,998417,186483,811934,,449822,46828,402994,Unmarried
,有配偶或同居伴侶,4983715,4197628,1074855,3122773,,786087,157980,628107,Married or Cohabited
,離婚或分居,909285,582860,98504,484356,,326425,29596,296829,Divorced or Separated
,喪偶,569145,458105,89205,368900,,111040,14534,96506,Widowed
,男,5207868,4233390,989778,3243612,,974478,154540,819938,Male
,未婚,849791,594027,108095,485932,,255764,26494,229270,Unmarried
,有配偶或同居伴侶,3798386,3243786,810444,2433342,,554600,110248,444352,Married or Cohabited
,離婚或分居,441581,296260,50298,245962,,145321,15072,130249,Divorced or Separated
,喪偶,118110,99317,20941,78376,,18793,2726,16067,Widowed
,女,2702516,2003620,459269,1544351,,698896,94398,604498,Female
,未婚,598448,404390,78388,326002,,194058,20334,173724,Unmarried
,有配偶或同居伴侶,1185329,953842,264411,689431,,231487,47732,183755,Married or Cohabited
,離婚或分居,467704,286600,48206,238394,,181104,14524,166580,Divorced or Separated
,喪偶,451035,358788,68264,290524,,92247,11808,80439,Widowed
,註：1.本表僅統計居住於住宅內之普通住戶。2.本表資料不含無親屬關係所組成之其他家戶，因該類家戶無主要家計負責人。,,"Note：1.This table only includes ordinary households living in the housing unit.   2.This table does not include other household composed of nonrelatives, because the main family living supporter was not interviewedin the household.",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶,民國109年,,,,,2020,Unit:Household,,
,表８４ 普通住戶之住宅擁有情形（續完）,,Table 84 Home Ownership of Present Living House,,,,,,,
,,,of Ordinary Households(End),,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                    Unit:Household,,,,,,,
,,總 計,現住住宅為自有The present living house was self-owned,,現住住宅非自有The present living house was non self-owned,,,,,
,,,,,,,,,,
,,合計,有其他自有住宅,沒有其他自有住宅,,合計,有其他自有住宅,沒有其他自有住宅,,
,,Grand total,,,,,,,,
,,Total,Having otherhouse,Having noother house,,Total,Having otherhouse,Having noother house,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,按主要家計負責人之性別及教育程度分,,,,,,,,,By Sex and Educational Attainmentof Main Family Living Supporter
,總計,7910384,6237010,1449047,4787963,,1673374,248938,1424436,Grand Total
,國小及以下,744834,614345,120865,493480,,130489,16159,114330,Elementary and Lower
,國（初）中,976609,750335,143220,607115,,226274,24317,201957,Junior High
,高級中等,2366077,1816608,376627,1439981,,549469,66806,482663,Senior High
,大專及以上,3822864,3055722,808335,2247387,,767142,141656,625486,Junior College and Higher
,男,5207868,4233390,989778,3243612,,974478,154540,819938,Male
,國小及以下,361428,311342,62778,248564,,50086,6585,43501,Elementary and Lower
,國（初）中,654032,516913,97334,419579,,137119,15096,122023,Junior High
,高級中等,1594090,1267402,259919,1007483,,326688,41891,284797,Senior High
,大專及以上,2598318,2137733,569747,1567986,,460585,90968,369617,Junior College and Higher
,女,2702516,2003620,459269,1544351,,698896,94398,604498,Female
,國小及以下,383406,303003,58087,244916,,80403,9574,70829,Elementary and Lower
,國（初）中,322577,233422,45886,187536,,89155,9221,79934,Junior High
,高級中等,771987,549206,116708,432498,,222781,24915,197866,Senior High
