,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表６８ 普通住戶之家戶型態,,Table 68 Family Household Type of Ordinary Households,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                  Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶 Other household,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代）,合計,有親屬關係,無親屬關係,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple orunmarriedpartner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent family),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparentwith theirunmarriedgrandchild(ren),One-personhousehold,Total,Withrelatives,With norelatives,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按縣市別分,,,,,,,,,,,,,,,By County/City
,農業,57986,19882,4820,7818,7244,12294,,7738,3078,1478,22073,3737,3527,210,Agriculture
,工業,390628,220805,31292,135444,54069,38986,,27022,9852,2112,108146,22691,18489,4202,Industry
,服務業,1202964,613081,97120,359507,156454,101286,,66324,28161,6801,410309,78288,62439,15849,Services
,無工作,1718898,655399,161570,307565,186264,368689,,229528,94350,44811,550042,144768,108805,35963,Not Holding a Job
,註：各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。,,"Note：Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Unit:Household單位：戶,單位：戶,民國109年,,,,,,,2020,,Unit:Household,,,,,
,表６８ 普通住戶之家戶型態（續４）,,Table 68 Family Household Type of Ordinary Households(Cont.4),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,單位：戶                      民國109年11月,,November 2020                  Unit:Household,,,,,,,,,,,,,
,,總 計,核心家戶 Nucleus family household,主幹家戶,,Stem family household,單人家戶,其他家戶,,,,,,,,
,,合計,夫婦、配偶或同居伴侶,父母與未婚子女,父（或母）與未婚子女（單親）,合計,,袓父母、父母及未婚子女,父母與已婚子女,袓父母與未婚孫子女（隔代）,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Grandtotal,Total,A marriedcouple orunmarriedpartner,A marriedcouple withtheir unmarriedchild(ren),Father/mother withhis/her unmarried child(ren)(single parent family),Total,,"Grandparent,parent and theirunmarriedchild(ren)",A marriedcouple withtheir marriedchild(ren),Grandparentwith theirunmarriedgrandchild(ren),One-personhousehold,Other household,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,按主要家計負責人之性別及年齡分,,,,,,,,,,,,,By Sex and Age of Main Family Living Supporter,,
,總計,7935570,4123461,1072010,2454929,596522,1278796,,843729,331619,103448,2084549,448764,Grand Total,,
,未滿２５歲,125515,27816,2299,15724,9793,11167,,4342,904,5921,74887,11645,Under 25 Years,,
,２５－３４歲,725097,332254,54266,213714,64274,91123,,58181,21872,11070,246118,55602,25-34 Years,,
,３５－４４歲,1701565,970367,106472,711876,152019,298600,,235542,60173,2885,334465,98133,35-44 Years,,
,４５－５４歲,1970405,1141933,176656,775956,189321,322526,,236637,82482,3407,400083,105863,45-54 Years,,
,５５－６４歲,1859509,982524,289032,566843,126649,312249,,185436,104312,22501,458006,106730,55-64 Years,,
,６５歲以上,1553479,668567,443285,170816,54466,243131,,123591,61876,57664,570990,70791,65 Years and Over,,
,男,5223289,2977362,862232,1858461,256669,958981,,658908,245191,54882,993979,292967,Male,,
,未滿２５歲,72187,16900,1396,9798,5706,7497,,3139,585,3773,41348,6442,Under 25 Years,,
,２５－３４歲,481209,232355,43009,152051,37295,69157,,45866,15949,7342,144046,35651,25-34 Years,,
,３５－４４歲,1181768,691057,87458,531293,72306,241178,,192698,46585,1895,182978,66555,35-44 Years,,
,４５－５４歲,1317877,797644,138454,581748,77442,258212,,193960,62726,1526,191670,70351,45-54 Years,,
,５５－６４歲,1218950,713586,224539,441709,47338,220456,,134789,75380,10287,214637,70271,55-64 Years,,
,６５歲以上,951298,525820,367376,141862,16582,162481,,88456,43966,30059,219300,43697,65 Years and Over,,
,女,2712281,1146099,209778,596468,339853,319815,,184821,86428,48566,1090570,155797,Female,,
,未滿２５歲,53328,10916,903,5926,4087,3670,,1203,319,2148,33539,5203,Under 25 Years,,
,２５－３４歲,243888,99899,11257,61663,26979,21966,,12315,5923,3728,102072,19951,25-34 Years,,
,３５－４４歲,519797,279310,19014,180583,79713,57422,,42844,13588,990,151487,31578,35-44 Years,,
,４５－５４歲,652528,344289,38202,194208,111879,64314,,42677,19756,1881,208413,35512,45-54 Years,,
,５５－６４歲,640559,268938,64493,125134,79311,91793,,50647,28932,12214,243369,36459,55-64 Years,,
,６５歲以上,602181,142747,75909,28954,37884,80650,,35135,17910,27605,351690,27094,65 Years and Over,,
,按主要家計負責人之性別及婚姻狀況分,,,,,,,,,,,,,By Sex and Marital Status ofMain Family Living Supporter,,
,總計,7935570,4123461,1072010,2454929,596522,1278796,,843729,331619,103448,2084549,448764,Grand Total,,
,未婚,1459109,506668,2071,275994,228603,80606,,44703,14657,21246,739155,132680,Unmarried,,
,有配偶或同居伴侶,4994597,3244710,1069750,2174960,0,1008969,,669753,285638,53578,572733,168185,Married or Cohabited,,
,離婚或分居,911827,250737,159,3679,246899,103958,,84184,12723,7051,438700,118432,Divorced or Separated,,
,喪偶,570037,121346,30,296,121020,85263,,45089,18601,21573,333961,29467,Widowed,,
,男,5223289,2977362,862232,1858461,256669,958981,,658908,245191,54882,993979,292967,Male,,
,未婚,856199,321011,1255,178914,140842,53962,,30739,9734,13489,408634,72592,Unmarried,,
,有配偶或同居伴侶,3805936,2537609,860850,1676759,0,825104,,561916,226169,37019,309613,133610,Married or Cohabited,,
,離婚或分居,442827,93634,120,2688,90826,62105,,55586,5021,1498,207930,79158,Divorced or Separated,,
,喪偶,118327,25108,7,100,25001,17810,,10667,4267,2876,67802,7607,Widowed,,
,女,2712281,1146099,209778,596468,339853,319815,,184821,86428,48566,1090570,155797,Female,,
,未婚,602910,185657,816,97080,87761,26644,,13964,4923,7757,330521,60088,Unmarried,,
,有配偶或同居伴侶,1188661,707101,208900,498201,0,183865,,107837,59469,16559,263120,34575,Married or Cohabited,,
,離婚或分居,469000,157103,39,991,156073,41853,,28598,7702,5553,230770,39274,Divorced or Separated,,
,喪偶,451710,96238,23,196,96019,67453,,34422,14334,18697,266159,21860,Widowed,,
,註：1.各類家戶型態以戶內主要成員組成分類，戶內可能有其他旁系親屬或非親屬。2.本表資料不含無親屬關係所組成之其他家戶，因該類家戶無主要家計負責人。,,"Note：1.Family households were classified by main household members, there may be collateral relatives or nonrelatives in the household.   2.This table does not include other household composed of nonrelatives, because the main family living supporter was not interviewedin the household.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
