,單位：人,民國109年,,,,,2020,Unit:Person,,,,,,
,表３３ ５歲以上常住人口５年前居住地,,Table 33 Living Place 5 Years Ago of the Resident Population,,,,,,,,,,,
,,,Aged 5 Years and Over,,,,,,,,,,,
,(1)總計,,(1)Grand total,,,,,,,,,,,
,,,,,,,,,,,,,,
,單位：人                      民國109年11月,,November 2020                     Unit:Person,,,,,,,,,,,
,,,北部地區,,Northern region,,,,,,,,,
,,,,,,,,,,,,,,
,,總 計,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,合計,新北市,臺北市,,桃園市,基隆市,新竹市,宜蘭縣,新竹縣,,,
,,Grand total,,New TaipeiCity,TaipeiCity,,TaoyuanCity,KeelungCity,HsinchuCity,YilanCounty,HsinchuCounty,,,
,,,Total,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,按經常居住地區分,,,,,,,,,,,By Usually Living County/City,,
,北部地區,5398628,5207839,2040104,1277191,,1048306,176957,213325,193144,258812,Northern Region,,
,新北市,2109762,2055001,1957641,75249,,12695,3676,1738,2474,1528,New Taipei City,,
,臺北市,1297873,1233693,35584,1178723,,9232,3006,2758,2144,2246,Taipei City,,
,桃園市,1111083,1072526,31486,13429,,1018476,1726,2277,1573,3559,Taoyuan City,,
,基隆市,177774,174966,4165,2221,,668,167453,121,260,78,Keelung City,,
,新竹市,226495,212065,3313,2732,,2381,411,198630,339,4259,Hsinchu City,,
,宜蘭縣,198508,194296,4162,2253,,1053,438,99,186075,216,Yilan County,,
,新竹縣,277133,265292,3753,2584,,3801,247,7702,279,246926,Hsinchu County,,
,中部地區,2663814,41204,13459,9334,,9093,1068,3364,1372,3514,Central Region,,
,臺中市,1427070,26767,8682,6384,,6183,660,1653,973,2232,Taichung City,,
,苗栗縣,236025,5649,1290,848,,1236,145,1202,106,822,Miaoli County,,
,彰化縣,533481,4113,1580,1071,,780,137,225,99,221,Changhua County,,
,南投縣,202088,1816,678,427,,363,67,84,94,103,Nantou County,,
,雲林縣,265150,2859,1229,604,,531,59,200,100,136,Yunlin County,,
,南部地區,2931228,35301,12632,8256,,7990,1089,2107,1055,2172,Southern Region,,
,臺南市,886057,13078,4679,2774,,2978,393,896,368,990,Tainan City,,
,高雄市,1315846,13556,4896,3333,,2984,504,681,460,698,Kaohsiung City,,
,嘉義市,125592,1381,427,615,,173,28,82,39,17,Chiayi City,,
,嘉義縣,212889,3122,1283,636,,625,120,177,66,215,Chiayi County,,
,屏東縣,356513,3599,1156,719,,1121,34,227,113,229,Pingtung County,,
,澎湖縣,34331,565,191,179,,109,10,44,9,23,Penghu County,,
,東部地區,231251,8926,3248,1906,,1875,487,230,902,278,Eastern Region,,
